Column1;Column2;Column3;Column4
;Cкoпje;;
Рулет;Cкoпje;;
Sopotsko;Cкoпje;;
Kуќа;Cкoпje;;
Ресторан Кej;Cкoпje;Кеј 13 Ноември;
Бравос;Cкoпje;Адолф Циборовски;
Od Nas Za Vas;Cкoпje;;
Скара Бар;Cкoпje;Варшавска;08:00-24:00
Воденица;Cкoпje;;
Дукат;Cкoпje;Митрополит Теодосиј Гологанов;"Mo-Fr 08:00-24:00; Sa Su 00:00-01:00 08:00-24:00"
Ресторан 14;Cкoпje;Лондонска;
Ден и Ноќ;Cкoпje;;
Корнер / Баба Цана;Cкoпje;Партенија Зографски;08:00 - 00:00
Skopski Merak;Cкoпje;Дебарца;Mo-Su 00:00-01:00 08:00-24:00
Томче Софка;;Јордан Хаџиконстантинов Џинот;
Калабалак;;;
Јавна Соба;Cкoпje;50-та дивизија;08:00-24:00
Restoran Olive;Cкoпje;Париска;Mo-Sa 09:00-24:00
Фурна;;;
Ла Тана;;;
Амиго;;;
Кај Злате;;;
Галерија 7;;;
Erdi;;Сараевска;
Vesa;;Сараевска;
Alba;;Сараевска;
;;Сараевска;
Dielli;;;
Golden Mili;;Пере Тошев;
Кај Жабарот;;;
Гостилница Мерак;;;
Читална;;;
цардак;;;
Наша софра;;;
Дебар Маало;;;
Гурмет;Cкoпje;Отон Жупанчич;09:00-24:00  Fr-Sa 09:00-01:00
Наџак;Cкoпje;Мирослав Крлежа;
Kancelarija;;;
Чамо;;;
Ganza;;Ѓорѓи Пешков;
Antica;Cкoпje;Дебарца;
Кремисимо 2;;;
Bonimi;;Булевар 8-ми Септември;Mo-Su 20:00-24:00
Барбакан;Cкoпje;Булевар 8-ми Септември;08:00-01:00
4 Angeli;;;
Krcma Zuto Kombe;;;
Куц у Кец (Панда);Скопје;Тодор Чангов 20;
